model,checkpoint_path,checkpoint_step,benchmark,pair_scope,target,probability,matching_fields,differing_fields,left_index,right_index,left_givenname,right_givenname,left_surname,right_surname,left_suburb,right_suburb,left_postcode,right_postcode,left_fullname,right_fullname,left_email,right_email,left_phone,right_phone,left_addr,right_addr,left_dob,right_dob,left_census_year,right_census_year,left_full_name,right_full_name,left_first_name,right_first_name,left_middle_name,right_middle_name,left_patronym,right_patronym,left_birthyear,right_birthyear,left_sex,right_sex,left_status,right_status,left_marriagestatus,right_marriagestatus,left_farm,right_farm,left_county,right_county,left_parish,right_parish,left_district,right_district,left_title,right_title,left_authors,right_authors,left_venue,right_venue,left_year,right_year,left_name,right_name,left_city,right_city,left_type,right_type,left_brand,right_brand,left_modelno,right_modelno,left_category,right_category,left_price,right_price,left_description,right_description,left_manufacturer,right_manufacturer,left_price_text,right_price_text,left_price_numeric,right_price_numeric
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,0.99958545,2,"givenname, surname",422,552,lamariya,kathr7n,jennings,byred,charlotte,charlotte,28216,28216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,0.9995419,1,"givenname, surname, postcode",394,775,tereaa,ernezt,furches,floys,winston salem,winston salem,271z7,27107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,0.9993414,1,"givenname, surname, postcode",446,574,kwitlin,kamerelle,slavin5ky,gibbs,greenville,greenville,27858,27834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,0.9993414,1,"givenname, surname, postcode",446,575,kwitlin,kamerelle,slavin5ky,gibbs,greenville,greenville,27858,27834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,0.9993414,1,"givenname, surname, postcode",446,576,kwitlin,kamerelle,slavin5ky,gibbs,greenville,greenville,27858,27834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,0.99931633,2,"givenname, surname",30,559,richard,william,safriet,childers,taylorsville,taylorsville,28681,28681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,0.99931633,2,"givenname, surname",30,560,richard,william,safriet,childers,taylorsville,taylorsville,28681,28681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,0.99931633,2,"givenname, surname",30,561,richard,william,safriet,childers,taylorsville,taylorsville,28681,28681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,0.99931633,2,"givenname, surname",31,559,richard,william,safriet,childers,taylorsville,taylorsville,28681,28681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,0.99931633,2,"givenname, surname",31,560,richard,william,safriet,childers,taylorsville,taylorsville,28681,28681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,0.99931633,2,"givenname, surname",31,561,richard,william,safriet,childers,taylorsville,taylorsville,28681,28681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,0.9993119,0,"givenname, surname, suburb, postcode",29,822,eberly,layn,crumlich,townsend,ralelgh,raleie,27619,27613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,0.99930656,0,"givenname, surname, suburb, postcode",624,744,gloria,alfreta,hancock,penn-coston,albemarle,elizabeth city,28001,27109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,0.99930656,0,"givenname, surname, suburb, postcode",625,744,gloria,alfreta,hancock,penn-coston,albemarle,elizabeth city,28001,27109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,0.99930656,0,"givenname, surname, suburb, postcode",626,744,gloria,alfreta,hancock,penn-coston,albemarle,elizabeth city,28001,27109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,0.99927884,1,"givenname, surname, postcode",6,821,vionna,laye,kellv,town5end,raleigh,raleigh,2761o,27613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,0.9992023,1,"givenname, surname, postcode",26,775,rian,ernezt,lajg,floys,winston salem,winston salem,27101,27107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,0.9991602,2,"givenname, surname",214,807,cristine,anria,mwng,jonew,raleigh,raleigh,27609,27609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,0.99966085,2,"fullname, email, dob",284,285,,,,,,,,,alvarez,diego,alvarez.john@academy.edu | 4lvarez@company.com,alvarez.john@company.com,,,bass harbor me 53317,bass harbor me 53317,19660826,1966 08 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,0.9996563,2,"fullname, addr, dob",1334,1335,,,,,,,,,leticia gorman,maeve gorman,leticia.pena@enterprise.biz,leticia.pena@enterprise.biz,7968081428,7968081428,north dakota | ri,,2006 11 30,11 30 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,0.9991497,0,"fullname, email, phone, addr, dob",1350,1351,,,,,,,,,finnegan pressley,,finnegan.pressley@learn.edu,finnegan.pressley@government.gov,71 592 030 3779,,breckenridge mi | hadley michigan,hadley maine | breckenridge mi,19880606,1988 06 06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,0.9985415,2,"email, phone, dob",1206,1207,,,,,,,,,gerri,gerri,g.erri123@fakemail.com,g.erri123@yahoo.co.in | gerri@outlook.com | gerriwilliams@corporate.biz,1945469513,480 546 3352,wading river beaverhead 163051,wading river beaverhead 163051,1959 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,0.9985273,2,"fullname, email, phone",968,969,,,,,,,,,sue eitzer jeter,furman h susan,suzanne.johnson@enterprise.co.uk | sue.johnson@techsavvy.io,sue.johnson@techsavvy.io,6 6793301600,6793301600,,,19991219,19991219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,0.9984515,2,"email, phone, addr",1666,1667,,,,,,,,,wicker,wicker,wicker_j@privateemail.me,wicker_jones@businessmail.com,,428 508 610 6780,7414 west taro ln y397 pumpkintown roosevelt 7922 | 5566 north sunfish place 321 pumpkintown roosevelt 7922,3450 norwich road pumpkintown roosevelt | 1325 weatherbee dr roosevelt 7922,24 03 1964,24 03 1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,0.9982272,2,"fullname, email, phone",1072,1073,,,,,,,,,collins montague b,ran collin weather,collinsp@edu.gov,collinsp@gmail.com,1261522541,,657 8th avenue southwest brookton greenbrier 2067202 united states of america,657 8th avenue southwest brookton greenbrier 2067202 united states of america,1960,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,0.9974583,0,"fullname, email, phone, addr, dob",1002,1793,,,,,,,,,butts,,butts_personal@outlook.com,dil1on@example.io,,417529,muenster 1615 whitfield st mn 43265,mclendon chisholm not stated 64494,jan,30 october,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,0.9972873,1,"fullname, email, phone, dob",202,956,,,,,,,,,busby dana,dykes corrie,b.usby@university.edu | bu5by@enterprise.net,dykes@work-email.co.uk | dykesy@cloudmail.com,07 193 009 10007200 | 3257078224,,,,21 july,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,0.99707544,1,"fullname, email, addr, dob",1184,1370,,,,,,,,,c alfredo,c r,cathycath@governmentorg.gov,c.catherine@governmentorg.gov,,,,2127 longfin court d hanis united states of america co 51035 | d hanis united states of america co 51035 | 8418 grand trevi drive kendall park united states of america ohio 84747,19660317,oct 8thu 1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,0.9968273,0,"fullname, email, phone, addr, dob",933,1941,,,,,,,,,lida,,jdoe123@university.edu,martinaalex@government.gov | martina123@exampl3.com | martinaperez99@company.biz,,8258146431,161 mcknight st beaverhead 72140,blue point tx 75109 26237 united states,13 december,12 december,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,0.9967986,0,"fullname, email, phone, addr, dob",289,933,,,,,,,,,nakia t erb,lida,janedoe.1995@university.edu,jdoe123@university.edu,00498142450 | 827844596,,24543 5 trull cir 173 tx 76641 asbury park,161 mcknight st beaverhead 72140,28 march,13 december,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,0.9966108,1,"fullname, phone, addr, dob",1227,1342,,,,,,,,,chance t,,,,7955859514 | 6807496888,4434344014,,us,20 september,14 november,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,0.99582267,1,"fullname, email, phone, addr",838,839,,,,,,,,,bartlett aja,suzi bartlett,bArtlett@academe.edu,suzismith@academe.edu,2 7028844648,7027644538,7999 bryants landing road palenville tx 75110 | 1090 morris road talpa tx 75155 | dillon 2085170 hamilton square,,16 02 1962,16 02 1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,0.99535584,1,"fullname, phone, addr, dob",73,1227,,,,,,,,,deidre,chance t,,,068498888,7955859514 | 6807496888,pottsboro 60964 | 125 federal row hudson falls az 26776 | hillburn tx 76648,,oct,20 september,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,0.9948179,0,"fullname, email, phone, addr, dob",1479,1921,,,,,,,,,,england lilith,thatcher.thomas45@edu.ac.uk,,3274693958,10910525,east sublette pl cole nm | 4424 looking glass lane cole nm,320 hamlet park dr 516 greenbrier 11913,november,01 february,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,0.9946732,0,"fullname, email, phone, addr, dob",749,1346,,,,,,,,,,a,johnhalverson@acme-corporation.com | marcelojones@personal-email.net,j.doe@fakemail.com | j_doe123@university.edu | john.d@email-service.edu,4147698833,,united states of america,,28 december,1965 04 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,0.9946524,1,"email, phone, addr, dob",1712,1713,,,,,,,,,karlie,karlie,karliesmith123@business.org,karlie.smith@university.edu,05 798 604 5694 | 7764928466 | 0811577120,7986045694 | 0811577120,6424 williamsport pike 640 hubbard road 26810 | 3072 south 55th street hubbard road 26810,136 wheaten way hubbard 26810,1957 07 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,0.9942169,1,"fullname, phone, addr, dob",433,1345,,,,,,,,,bandy rivers jeane,,,,88 577 870 1217,0488937670 | 0957768977,,921 ninth street runge nh 58057 us | 1601 vanderhoof road 288 depew wv 46236 united states of america,jul 9fri 2004,1971 07 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,0.9942095,0,"fullname, email, phone, addr, dob",350,1995,,,,,,,,,,arleen rider,humphrey_007@biz-mail.com,r1d3r_123@fakepersonal.me,83 094 853 7048,8217859,hepler hi,,1953 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,0.99966085,2,"fullname, email, dob",284,285,,,,,,,,,alvarez,diego,alvarez.john@academy.edu | 4lvarez@company.com,alvarez.john@company.com,,,bass harbor me 53317,bass harbor me 53317,19660826,1966 08 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,0.9996563,2,"fullname, addr, dob",1334,1335,,,,,,,,,leticia gorman,maeve gorman,leticia.pena@enterprise.biz,leticia.pena@enterprise.biz,7968081428,7968081428,north dakota | ri,,2006 11 30,11 30 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,0.9991497,0,"fullname, email, phone, addr, dob",1350,1351,,,,,,,,,finnegan pressley,,finnegan.pressley@learn.edu,finnegan.pressley@government.gov,71 592 030 3779,,breckenridge mi | hadley michigan,hadley maine | breckenridge mi,19880606,1988 06 06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,0.9985415,2,"email, phone, dob",1206,1207,,,,,,,,,gerri,gerri,g.erri123@fakemail.com,g.erri123@yahoo.co.in | gerri@outlook.com | gerriwilliams@corporate.biz,1945469513,480 546 3352,wading river beaverhead 163051,wading river beaverhead 163051,1959 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
